,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Kuru Soğan,Soğan,Markasız,"10-meyve Sebze, Meyve Ve Sebzeler, 100203-soğan, Soğan, 1002-sebzeler, Sebze",bim,Sinanağafatih,8.75,"8,75 ₺/kg",09.08.2025 10:13,0,İSTANBUL
Kuru Soğan,Soğan,Markasız,"10-meyve Sebze, Meyve Ve Sebzeler, 100203-soğan, Soğan, 1002-sebzeler, Sebze",a101,Kadırga Fatih Istanbul,8.9,"8,90 ₺/kg",09.08.2025 10:13,0,İSTANBUL
Kuru Soğan,Soğan Arpacık,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Istanbul Cıhangır Gurme,124.9,"124,90 ₺/kg",09.08.2025 10:13,0,İSTANBUL
Kuru Soğan,Soğan Mor,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Istanbul Fatıh Mını,34.9,"34,90 ₺/kg",09.08.2025 10:13,0,İSTANBUL
Kuru Soğan,Soğan File,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Istanbul Cıhangır Gurme,22.9,"22,90 ₺/kg",09.08.2025 10:14,0,İSTANBUL
Kuru Soğan,Soğan Kuru File,Markasız,"Sebzeler, Soğan, Patates Soğan",sok,Cemberlıtas,12.9,"12,90 ₺/kg",09.08.2025 10:13,0,İSTANBUL
Kuru Soğan,Soğan Yeni Hasat,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Istanbul Fatıh Mını,9.9,"9,90 ₺/kg",09.08.2025 10:13,0,İSTANBUL
Kuru Soğan,Soğan Gümüş File,Markasız,"Sebzeler, Soğan, Patates Soğan",sok,Cemberlıtas,59.9,"59,90 ₺/kg",09.08.2025 10:13,0,İSTANBUL
Kuru Soğan,Soğan Taze Adet,Markasız,"Meyve Ve Sebzeler, Yeşillik",a101,Türkeli Fatih Istanbul,35.0,"35,00 ₺/adet",09.08.2025 10:13,0,İSTANBUL
Kuru Soğan,Soğan Kırmızı File Adet,Markasız,"Sebzeler, Soğan, Patates Soğan",sok,Cemberlıtas,69.9,"69,90 ₺/kg",09.08.2025 10:13,0,İSTANBUL
Kuru Soğan,Soğan Mor - coğrafi Ürün,Markasız,"Patetes/sogan, Taze Gıdalar, Sebze, Meyve Ve Sebze",carrefour,Istanbul Cıhangır Gurme,59.9,"59,90 ₺/kg",09.08.2025 10:13,0,İSTANBUL
Kuru Soğan,Soğan Arpacık 500 gr paket,Markasız,"Meyve Ve Sebzeler, Sebzeler, Soğan, Sebze, Patates Soğan",sok,Cemberlıtas,49.9,"99,80 ₺/kg",09.08.2025 10:13,0,İSTANBUL
