,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Bebek Sütü (Toz Karışım),İçim Devam Sütü 1 Lt,Ülker,"Uzun Ömürlü Süt, Uht Süt, Gıda, Özellikli Süt, Self Servıs, Günlük, Süt Ve Süt Ürünleri, Süt, Süt Yoğurt Ve Günlük Paketli",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,59.95,"59,95 ₺/lt",09.08.2025 10:13,0,İSTANBUL
Bebek Sütü (Toz Karışım),İçim Devam Sütü 1 Lt,Ülker,"Uzun Ömürlü Süt, Uht Süt, Gıda, Özellikli Süt, Self Servıs, Günlük, Süt Ve Süt Ürünleri, Süt, Süt Yoğurt Ve Günlük Paketli",carrefour,Istanbul Cıhangır Gurme,65.0,"65,00 ₺/lt",09.08.2025 10:13,0,İSTANBUL
Bebek Sütü (Toz Karışım),Mis Çocuk Devam Sütü 500 Ml,Mis,"Uzun Ömürlü Süt, Büyük Devam Sütü, Süt-yoğurt-günlük Paketli-katı Yağ, Süt",sok,Cemberlıtas,28.25,"56,50 ₺/lt",09.08.2025 10:13,0,İSTANBUL
Bebek Sütü (Toz Karışım),Mis Çocuk Devam Sütü 200 Ml,Mis,"Uzun Ömürlü Süt, Süt-yoğurt-günlük Paketli-katı Yağ, Süt, Küçük Devam Sütü",sok,Mercan Mheminönü,12.5,"62,50 ₺/lt",09.08.2025 10:13,0,İSTANBUL
Bebek Sütü (Toz Karışım),Milupa Çocuk Devam Sütü 1 lt,Milupa,"Uzun Ömürlü Süt, Bebek, Özellikli Süt, Süt, Süt Yoğurt Ve Günlük Paketli, Bebek Mamaları, Baslangıç Maması, Pazar",carrefour,Istanbul Cıhangır Gurme,86.25,"86,25 ₺/lt",09.08.2025 10:13,0,İSTANBUL
Bebek Sütü (Toz Karışım),İçim Çocuk Devam Sütü 200 Ml,İçim,"Uzun Ömürlü Süt, Gıda, Özellikli Süt, Self Servıs, Günlük, Süt, Süt Yoğurt Ve Günlük Paketli",carrefour,Istanbul Cıhangır Gurme,20.9,"104,50 ₺/lt",09.08.2025 10:13,0,İSTANBUL
Bebek Sütü (Toz Karışım),İçim Çocuk Devam Sütü 500 Ml,Ülker,"Uzun Ömürlü Süt, Büyük Devam Sütü, Süt-yoğurt-günlük Paketli-katı Yağ, Süt",sok,Mercan Mheminönü,35.0,"70,00 ₺/lt",09.08.2025 10:13,0,İSTANBUL
Bebek Sütü (Toz Karışım),Milupa Junior Devam Sütü 200 Ml,Milupa,"Uzun Ömürlü Süt, Bebek, Özellikli Süt, Süt, Süt Yoğurt Ve Günlük Paketli, Bebek Mamaları, Baslangıç Maması, Pazar",carrefour,Istanbul Fatıh Mını,28.9,"144,50 ₺/lt",09.08.2025 10:13,0,İSTANBUL
Bebek Sütü (Toz Karışım),Milupa Junior Devam Sütü 200 Ml,Milupa,"Uzun Ömürlü Süt, Bebek, Özellikli Süt, Süt, Süt Yoğurt Ve Günlük Paketli, Bebek Mamaları, Baslangıç Maması, Pazar",migros,Mjet Beyazıt Mithatpaşa,29.0,"145,00 ₺/lt",09.08.2025 10:13,0,İSTANBUL
Bebek Sütü (Toz Karışım),Hipp 1 Organik Devam Sütü 600 gr,Hıpp,"Bebek, Bebek Mamaları, Baslangıç Maması, Pazar",carrefour,Istanbul Cıhangır Gurme,717.5,"1.195,83 ₺/kg",09.08.2025 10:14,0,İSTANBUL
Bebek Sütü (Toz Karışım),Hipp 3 Organik Devam Sütü 600 gr,Hıpp,"Bebek, Bebek Mamaları, Baslangıç Maması, Pazar",carrefour,Istanbul Cıhangır Gurme,717.5,"1.195,83 ₺/kg",09.08.2025 10:14,0,İSTANBUL
Bebek Sütü (Toz Karışım),Hipp 2 Organik Devam Sütü 600 gr,Hıpp,"Bebek, Bebek Mamaları, Baslangıç Maması, Pazar",carrefour,Istanbul Cıhangır Gurme,717.5,"1.195,83 ₺/kg",09.08.2025 10:14,0,İSTANBUL
Bebek Sütü (Toz Karışım),Aptamil Prosyneo 3 Devam Sütü 2x400 gr,Aptamil,"Biberon Mamaları, Hazır Mama Yemek Ve İçecek, Kağıt Ve Bebek Ürünleri, Bebek, Bebek Ürünleri, Bebek Mamaları, Baslangıç Maması, Pazar",carrefour,Istanbul Cıhangır Gurme,1221.9,"1.527,38 ₺/kg",09.08.2025 10:13,0,İSTANBUL
Bebek Sütü (Toz Karışım),Aptamil Pronutra 5 Devam Sütü 350 gr,Aptamıl,"Biberon Mamaları, Hazır Mama Yemek Ve İçecek, Kağıt Ve Bebek Ürünleri, Bebek Ürünleri",migros,Mjet Cağaloğlu Istanbul,489.95,"1.399,86 ₺/kg",09.08.2025 10:13,0,İSTANBUL
Bebek Sütü (Toz Karışım),Aptamil Pronutra 2 Devam Sütü 350 gr,Aptamıl,"Biberon Mamaları, Hazır Mama Yemek Ve İçecek, Kağıt Ve Bebek Ürünleri, Bebek Ürünleri",migros,Mjet Cağaloğlu Istanbul,489.95,"1.399,86 ₺/kg",09.08.2025 10:13,0,İSTANBUL
Bebek Sütü (Toz Karışım),Aptamil Pronutra 4 Devam Sütü 350 gr,Aptamıl,"Biberon Mamaları, Hazır Mama Yemek Ve İçecek, Kağıt Ve Bebek Ürünleri, Bebek Ürünleri",migros,Mjet Cağaloğlu Istanbul,489.95,"1.399,86 ₺/kg",09.08.2025 10:13,0,İSTANBUL
Bebek Sütü (Toz Karışım),Aptamil Pronutra 5 Devam Sütü 800 gr,Aptamıl,"Biberon Mamaları, Hazır Mama Yemek Ve İçecek, Kağıt Ve Bebek Ürünleri, Bebek Ürünleri",migros,Mjet Cağaloğlu Istanbul,994.95,"1.243,69 ₺/kg",09.08.2025 10:13,0,İSTANBUL
