,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Elma,Elma Starking,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Çifte Minareseyhanadana,55.0,"55.000,00 ₺/kg",27.05.2025 10:20,0,ADANA
Elma,Elma Granny,Markasız,"Meyveler, Sert Meyveler, Meyve Sebze, Meyve-sebze, Elma, Meyve",tarim_kredi,Adana Yüreğir Yavuzlar,69.9,"69,90 ₺/kg",27.05.2025 10:20,0,ADANA
Elma,Elma Granny,Markasız,"Meyveler, Sert Meyveler, Meyve Sebze, Meyve-sebze, Elma, Meyve",sok,Adana Seyhan Kurtuluş,89.9,"89,90 ₺/kg",27.05.2025 10:20,0,ADANA
Elma,Elma Golden,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Çifte Minareseyhanadana,39.0,"39.000,00 ₺/kg",27.05.2025 10:20,0,ADANA
Elma,Elma Eko,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Çifte Minareseyhanadana,39.0,"39,00 ₺/kg",27.05.2025 10:20,0,ADANA
Elma,Elma Fuji Dökme,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Çifte Minareseyhanadana,49.0,"49.000,00 ₺/kg",27.05.2025 10:20,0,ADANA
Elma,Elma Granny Smith,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Çifte Minareseyhanadana,59.0,"59.000,00 ₺/kg",27.05.2025 10:20,0,ADANA
Elma,Elma Grany Smith,Markasız,"Yumuşak Çekirdekli, Taze Gıdalar, Meyve Ve Sebze, Meyve",carrefour,Adana Türkmenbaşı Süper,85.9,"85,90 ₺/kg",27.05.2025 10:20,0,ADANA
Elma,Elma Starking,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Konurçankaya,55.0,"55.000,00 ₺/kg",27.05.2025 10:20,0,ANKARA
Elma,Elma Granny,Markasız,"Meyveler, Sert Meyveler, Meyve Sebze, Meyve-sebze, Elma, Meyve",sok,Kızılay Selanik,89.9,"89,90 ₺/kg",27.05.2025 10:20,0,ANKARA
Elma,Elma Golden,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Konurçankaya,39.0,"39.000,00 ₺/kg",27.05.2025 10:20,0,ANKARA
Elma,Elma Gala,Markasız,"Yumuşak Çekirdekli, Taze Gıdalar, Meyve Ve Sebze, Meyve",carrefour,Ankara Çankaya Esat Cad,59.95,"59,95 ₺/kg",27.05.2025 10:20,0,ANKARA
Elma,Elma Eko,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Konurçankaya,39.0,"39,00 ₺/kg",27.05.2025 10:20,0,ANKARA
Elma,Elma Fuji Dökme,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Konurçankaya,49.0,"49.000,00 ₺/kg",27.05.2025 10:20,0,ANKARA
Elma,Elma Granny Smith,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Konurçankaya,59.0,"59.000,00 ₺/kg",27.05.2025 10:20,0,ANKARA
Elma,Pink Lady Elma,Markasız,"Yumuşak Çekirdekli, Meyveler, Sert Meyveler, Taze Gıdalar, Elma, Meyve Ve Sebze, Meyve",carrefour,Ankara Çankaya Esat Cad,47.9,"47,90 ₺/kg",27.05.2025 10:20,0,ANKARA
Elma,Elma Grany Smith,Markasız,"Yumuşak Çekirdekli, Taze Gıdalar, Meyve Ve Sebze, Meyve",carrefour,Ankara Çankaya Esat Cad,85.9,"85,90 ₺/kg",27.05.2025 10:20,0,ANKARA
Elma,Elma Starking,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Kızılsaray  Antalya,55.0,"55.000,00 ₺/kg",27.05.2025 10:20,0,ANTALYA
Elma,Elma Granny,Markasız,"Meyveler, Sert Meyveler, Meyve Sebze, Meyve-sebze, Elma, Meyve",sok,Muratpaşa Yenikapı,89.9,"89,90 ₺/kg",27.05.2025 10:20,0,ANTALYA
Elma,Elma Golden,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Kızılsaray  Antalya,39.0,"39.000,00 ₺/kg",27.05.2025 10:20,0,ANTALYA
Elma,Elma Eko,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Kızılsaray  Antalya,39.0,"39,00 ₺/kg",27.05.2025 10:20,0,ANTALYA
Elma,Elma Fuji Dökme,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Kızılsaray  Antalya,49.0,"49.000,00 ₺/kg",27.05.2025 10:20,0,ANTALYA
Elma,Elma Granny Smith,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Kızılsaray  Antalya,59.0,"59.000,00 ₺/kg",27.05.2025 10:20,0,ANTALYA
Elma,Elma Grany Smith,Markasız,"Yumuşak Çekirdekli, Taze Gıdalar, Meyve Ve Sebze, Meyve",carrefour,Antalya Narencıye Süper,85.9,"85,90 ₺/kg",27.05.2025 10:20,0,ANTALYA
Elma,Elma Starking,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Güzelhisar  Aydın,55.0,"55.000,00 ₺/kg",27.05.2025 10:20,0,AYDIN
Elma,Elma Golden,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Güzelhisar  Aydın,39.0,"39.000,00 ₺/kg",27.05.2025 10:20,0,AYDIN
Elma,Elma Eko,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Güzelhisar  Aydın,39.0,"39,00 ₺/kg",27.05.2025 10:20,0,AYDIN
Elma,Elma Fuji Dökme,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Güzelhisar  Aydın,49.0,"49.000,00 ₺/kg",27.05.2025 10:20,0,AYDIN
Elma,Elma Granny Smith,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Güzelhisar  Aydın,59.0,"59.000,00 ₺/kg",27.05.2025 10:20,0,AYDIN
Elma,Elma Grany Smith,Markasız,"Yumuşak Çekirdekli, Taze Gıdalar, Meyve Ve Sebze, Meyve",carrefour,Aydın Mımar Sınan Süper,85.9,"85,90 ₺/kg",27.05.2025 10:20,0,AYDIN
Elma,Lavi Smoothie Mango Elma Ananas Çarkıfelek Meyve.150g,Lavi,"Sebze Ve Meyve, Donuk Dondurma, Meyve, Dondurulmuş Gıda",migros,5m Aydın Kipa Avm,79.95,"533,00 ₺/kg",27.05.2025 10:21,0,AYDIN
Elma,Elma Starking,Markasız,"10-meyve Sebze, 1001-meyve Sebzeler, 100101-muz",bim,Anafartalar  Balıkesir,55.0,"55.000,00 ₺/kg",27.05.2025 10:20,0,BALIKESİR
Elma,Elma Granny,Markasız,"Meyveler, Sert Meyveler, Meyve Sebze, Meyve-sebze, Elma, Meyve",tarim_kredi,Balıkesir Cengiz Topel,69.9,"69,90 ₺/kg",27.05.2025 10:20,0,BALIKESİR
Elma,Elma Granny,Markasız,"Meyveler, Sert Meyveler, Meyve Sebze, Meyve-sebze, Elma, Meyve",sok,Balıkesir Anafartalar,89.9,"89,90 ₺/kg",27.05.2025 10:20,0,BALIKESİR
Elma,Elma Fuji,Markasız,"Yumuşak Çekirdekli, Meyveler, Sert Meyveler, Taze Gıdalar, Elma, Meyve Ve Sebze, Meyve",sok,Balıkesir Anafartalar,44.9,"44,90 ₺/kg",27.05.2025 10:20,0,BALIKESİR
