Ürün,Endeks_2024-10-11,Endeks_2024-10-12,Endeks_2024-10-13,Endeks_2024-10-14,Endeks_2024-10-15,Endeks_2024-10-16,Endeks_2024-10-17,Endeks_2024-10-18,Endeks_2024-10-19,Endeks_2024-10-20,Endeks_2024-10-21,Endeks_2024-10-22,Endeks_2024-10-23,Endeks_2024-10-24,Endeks_2024-10-25,Endeks_2024-10-26,Endeks_2024-10-27,Endeks_2024-10-28,Endeks_2024-10-29,Endeks_2024-10-30,Endeks_2024-10-31,Endeks_2024-11-01,Endeks_2024-11-02,Endeks_2024-11-03,Endeks_2024-11-04,Endeks_2024-11-05,Endeks_2024-11-06,Endeks_2024-11-07,Endeks_2024-11-08,Endeks_2024-11-09,Endeks_2024-11-10,Endeks_2024-11-11,Endeks_2024-11-12,Endeks_2024-11-13,Endeks_2024-11-14,Endeks_2024-11-15,Endeks_2024-11-16,Endeks_2024-11-17,Endeks_2024-11-18,Endeks_2024-11-19,Endeks_2024-11-20,Endeks_2024-11-21,Endeks_2024-11-22,Endeks_2024-11-23,Endeks_2024-11-24,Endeks_2024-11-25,Endeks_2024-11-26,Endeks_2024-11-27,Endeks_2024-11-28,Endeks_2024-11-29,Endeks_2024-11-30,Endeks_2024-12-01,Endeks_2024-12-02,Endeks_2024-12-03,Endeks_2024-12-04,Endeks_2024-12-05,Endeks_2024-12-06,Endeks_2024-12-07,Endeks_2024-12-08,Endeks_2024-12-09,Endeks_2024-12-10,Endeks_2024-12-11,Endeks_2024-12-12,Endeks_2024-12-13,Endeks_2024-12-14,Endeks_2024-12-15,Endeks_2024-12-16,Endeks_2024-12-17,Endeks_2024-12-18,Endeks_2024-12-19,Endeks_2024-12-20,Endeks_2024-12-21,Endeks_2024-12-22,Endeks_2024-12-23,Endeks_2024-12-24,Endeks_2024-12-25,Endeks_2024-12-26,Endeks_2024-12-27,Endeks_2024-12-28,Endeks_2024-12-29,Endeks_2024-12-30,Endeks_2024-12-31,Endeks_2025-01-01,Endeks_2025-01-02
Antep Fıstığı,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.1480452617738,98.1480452617738,98.1480452617738,98.1480452617738,98.1480452617738,98.1480452617738,98.1480452617738,98.1480452617738,98.1480452617738,98.1480452617738,98.1480452617738,98.1480452617738,98.1480452617738,100.48507041266016,100.48507041266016,101.5018317495908,101.5018317495908,101.5018317495908,101.5018317495908,101.5018317495908,101.5018317495908,103.34090030489386,103.34090030489386,103.34090030489386,103.34090030489386,103.34090030489386,105.52902011955608,105.52902011955608,105.52902011955608,105.52902011955608,105.52902011955608,105.52902011955608,105.52902011955608,105.52902011955608,105.52902011955608,105.52902011955608,105.52902011955608,105.52902011955608,105.52902011955608,105.52902011955608,105.52902011955608,103.49945976646052,103.49945976646052,103.49945976646052,103.49945976646052,103.49945976646052,103.49945976646052,103.49945976646052,103.49945976646052,103.49945976646052,103.49945976646052,103.49945976646052,103.49945976646052,103.49945976646052,108.6749503038373,108.6749503038373
Armut,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.999999999979,99.999999999979,99.999999999979,99.999999999979,99.999999999979,99.999999999979,99.999999999979,99.999999999979,99.999999999979,99.999999999979,99.999999999979,99.999999999979,99.999999999979,93.32777314426733,93.32777314426733,102.67223103105252,102.67223103105252,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494568,99.24696894494572,99.24696894501386,99.24696836117764,99.24667970539495,99.24667970539495,99.23894205983856,98.317309864236,93.09985582197795,93.09985582197795
Ay Çekirdeği,100.0,100.0,100.0,100.0,100.0,99.47278911564624,99.47278911564624,99.47278911564624,99.47278911564624,99.47278911564624,99.47278911564624,99.47278911564624,99.75590116693022,100.0398189906701,99.51081551815577,99.51081551815577,99.51081551815577,99.51081551815577,99.51081551815577,99.51081551815577,99.51081551815577,98.37354905509112,98.37354905509112,98.37354905509112,98.37354905509112,98.37354905509112,98.37354905509112,98.37354905509112,97.7271551412319,97.66369594958176,97.66369594958176,97.66369594958176,97.66369594958176,97.66369594958176,97.66369594958176,97.66369594958176,97.0813939226942,97.0813939226942,97.0813939226942,97.0813939226942,97.0813939226942,100.234400083193,100.234400083193,100.234400083193,100.234400083193,100.234400083193,100.234400083193,100.234400083193,100.234400083193,100.234400083193,100.234400083193,100.234400083193,100.80120175033012,101.04120461164044,101.04120461164044,101.04120461164044,101.04120461164044,101.04120461164044,101.04120461164044,101.04120461164044,101.04120461164044,101.04120461164044,101.0453146508778,101.0453146508778,101.0453146508778,101.0453146508778,101.0453146508778,101.0453146508778,101.0453146508778,101.05352571171406,101.05352571171406,101.05352571171406,101.05352571171406,101.05352571171406,101.05352571171406,101.05352571171406,101.05352571171406,101.05352571171406,101.05352571171406,101.05352571171406,101.05352571171406,101.05352571171406,101.05352571171406,101.05352571171406
Ayran,100.0,100.0,100.04209935447656,100.04209935447656,99.9056068297412,99.9056068297412,99.78346537020242,99.78346537020242,99.78346537020242,99.82547356499762,99.64776911717388,99.64776911717388,99.94613725702686,99.9048416538747,99.82218458686928,99.82218458686928,99.82218458686928,99.82218458686928,99.82218458686928,99.82218458686928,100.3999540446458,100.3999540446458,100.3999540446458,100.3999540446458,99.89113178558564,99.89113178558564,99.89113178558564,99.89113178558564,99.22493771419012,99.55079957860454,99.55079957860454,99.55079957860454,99.55079957860454,99.55079957860454,99.55079957860454,99.55079957860454,99.55079957860454,99.28157215371807,99.28157215371807,99.28157215371807,99.28157215371807,99.61931359120588,98.83316309919616,98.83316309919616,98.83316309919616,100.02262196197076,100.02262196197076,100.02262196197076,100.02262196197076,102.67079928994164,102.71402303367864,102.71402303367864,102.71402303367864,103.49011809758738,103.05264658157726,103.05264658157726,103.05264658157726,103.01675371569908,102.9741378495729,102.9741378495729,103.7180631638822,103.7180631638822,103.7180631638822,103.7180631638822,103.7180631638822,103.7180631638822,103.7180631638822,103.7180631638822,103.7180631638822,103.72998154423392,103.72998154423392,103.72998154423392,103.72998154423392,103.72998154423392,103.08394882050946,103.08394882050946,103.95338164147556,103.953381659471,103.9533908562832,103.9533908562832,103.95367653136908,104.10903840221474,105.01922597527484,105.01922597527484
Ayva,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,123.094688221709,76.90531177829102,69.16859122401848,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,92.26327944572748,93.8029253271748,93.8029253271748,93.8029253271748,96.11239414934568,96.11239414934568,96.11239414934568,96.11239414934568,96.11239414934568,96.11239414934568,96.11239414934568,96.11239414934568,96.11239414934568,96.11239414934568
Ayçiçek Yağı,100.0,100.3872756461106,100.3872756461106,101.3316344589022,101.3316344589022,102.12244207193422,102.47034955117088,103.26682345075636,103.26682345075636,103.26682345075636,103.26682345075636,103.26682345075636,104.51200846588866,104.30499245348037,104.49446696635556,104.49446696635556,103.45369284059488,103.45369284059488,103.45369284059488,103.45369284059488,103.40046606359884,103.68688472122128,103.68688472122128,103.68688472122128,103.68688472122128,103.68688472122128,104.003329297942,104.67311458626486,106.18702689328336,106.18702689328336,106.18702689328336,106.55637799138466,106.79643471390288,106.79643471390288,108.53501483956757,108.53501483956757,108.53501483956757,108.53501483956757,108.79552633028575,108.79552633028575,109.0237168317388,108.9196451694698,108.8112026712923,108.59715337235714,108.59715337235714,108.8292878543638,108.97544563388465,108.97544563388465,108.97544563388465,109.97347916050522,109.97347916050522,109.97347916050522,109.97347916050522,110.37906393584352,110.64575250202596,110.82657280648584,111.0076886124156,111.0076886124156,111.0076886124156,111.0076886124156,111.0076886124156,111.0076886124156,112.00460550481208,112.00460550481208,112.00460550481208,112.00460550481208,112.8646820137073,112.8646820137073,112.8646820137073,112.8646820137073,112.8646820137073,112.8646820137073,112.8646820137073,113.043857899173,113.043857899173,113.043857899173,113.043857899173,113.043857899173,113.043857899173,113.043857899173,113.043857899173,113.043857899173,113.043857899173,113.043857899173
Badem İçi,100.0,99.2,99.2,99.2,99.2,99.2,99.2,99.2,101.06762459546924,101.06762459546924,101.06762459546924,100.88871217805828,101.07557773126824,101.07557773126824,101.07557773126824,101.07557773126824,101.07557773126824,101.07557773126824,101.07557773126824,101.07557773126824,101.07557773126824,101.07557773126824,101.07557773126824,101.07557773126824,101.07557773126824,101.07557773126824,101.07557773126824,101.07557773126824,101.95567632442332,101.7157325354716,101.7157325354716,103.58787105318744,103.26684963648076,103.26684963648076,103.26684963648076,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,103.61375273537084,104.07919480993505,104.07919480993505,104.07919480993505,104.07919480993505,104.07919480993505,104.07919480993505,104.07919480993505,104.07919480993505,104.07919480993505,104.07919480993505,104.07919480993505,104.07919480993505,104.07919480993505,104.07919480993505,104.07919480993505,104.07919480993505,104.4839472341959,104.97936661415888,104.97936661415888,104.97936661415888,104.97936661415888,104.97936661415888,104.97936661415888,104.97936661415888,104.97936661415888,104.97936661415888,104.97936661415888,104.97936661415888,104.97936661415888,104.97936661415888
Baharat,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.109649122807,100.109649122807,100.109649122807,100.109649122807,100.109649122807,100.109649122807,100.109649122807,100.109649122807,100.109649122807,100.109649122807,100.109649122807,100.109649122807,100.109649122807,100.109649122807,100.109649122807,99.7956268430608,99.7956268430608,99.7956268430608,99.7956268430608,99.7956268430608,99.77284190045,99.774320261329,99.774320261329,99.93805049559458,99.93805049559458,99.93805049559458,99.95248197024291,99.95248197024291,100.27777646770583,100.27777646770583,100.27777646770583,100.27777646770583,100.27777646770583,100.27777646770583,100.27777646770583,100.27777646770583,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.55177998802569,101.92173755555967,101.98969969726546,101.98969969726546,101.98969969726546,101.98969969726546,101.98969969726546,101.9896996972654,101.98969969379812,101.98967129403276,101.97546613194606,101.97546613194606,101.86666567843916,101.86666567843916,101.86666567843916,101.86666567843916
Baklava,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,101.15964437572478,98.39706238987584,98.39706238987584,98.39706238987584,98.39706238987584,98.39706238987584,98.39706238987584,98.39706238987584,98.39706238987584,98.39706238987584,97.6539237368614,98.2977762862549,98.2977762862549,98.2977762862549,99.26013213800844,100.2145564854893,100.2145564854893,100.2145564854893,100.2145564854893,100.2145564854893,100.2145564854893,100.2145564854893,101.83746428282517,101.83746428282517,101.83746428282517,101.83746428282517,101.83746428282517,101.83746428282517,101.83746428282517,101.83746428282517,101.83746428282517,101.83746428282517,101.83746428282517,101.83746428282517,101.83746428282517,101.83746428282517,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789,103.9530319600789
Bal,100.0,100.19927327012552,100.19927327012552,100.19927327012552,100.77408415810416,101.57601075370074,101.72171883491264,101.22568442301592,101.22568442301592,101.22568442301592,101.22568442301592,101.80637370202076,101.80637370202076,101.99030572316262,101.99030572316262,101.99030572316262,101.99030572316262,101.99030572316262,101.99030572316262,101.99030572316262,101.99030572316262,101.99030572316262,101.9300010338954,101.9300010338954,101.9300010338954,101.9300010338954,101.9300010338954,101.9300010338954,102.0128800620216,102.0128800620216,102.0128800620216,102.0128800620216,102.0128800620216,102.0128800620216,102.0128800620216,101.34938165511416,102.37935504591816,102.25451132265222,102.25451132265222,103.14320221014329,103.14320221014329,102.17613697793414,102.0838369445304,102.0838369445304,102.0838369445304,102.0838369445304,102.6601859610769,102.6601859610769,102.6601859610769,104.68296783474092,104.68296783474092,104.68296783474092,104.68296783474092,104.68296783474092,104.68296783474092,104.68296783474092,104.68296783474092,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762,104.89573809456762
