,GFE
2024-10-31,99.99999999999935
2024-11-01,100.05420492010802
2024-11-02,100.1699907214136
2024-11-03,100.18384506973749
2024-11-04,100.31396313130585
2024-11-05,100.76678894040049
2024-11-06,100.84396210240246
2024-11-07,100.93268850963625
2024-11-08,101.3988877457513
2024-11-09,101.48868036792675
2024-11-10,101.57968269122463
2024-11-11,101.8615169868346
2024-11-12,102.1650663151583
2024-11-13,102.67942489734213
2024-11-14,102.82160303975266
2024-11-15,102.63068674099566
2024-11-16,102.7245894644224
2024-11-17,102.75465959510379
2024-11-18,103.0750706573358
2024-11-19,103.34852992789368
2024-11-20,103.38933346709865
2024-11-21,103.42735151172194
2024-11-22,103.2041751332003
2024-11-23,103.1082994017791
2024-11-24,103.06708410271682
2024-11-25,103.36762176540168
2024-11-26,103.61533973076439
2024-11-27,103.80250476256352
2024-11-28,103.8033097494955
2024-11-29,103.92560765011046
2024-11-30,103.93948548925151
2024-12-01,103.96079344554137
2024-12-02,104.5913127215793
2024-12-03,104.64763027210441
2024-12-04,104.81450099395259
2024-12-05,104.90490955488478
2024-12-06,104.92934771806961
2024-12-07,104.82483082220118
2024-12-08,104.82990456741655
2024-12-09,104.86524620943253
2024-12-10,105.14044358655913
2024-12-11,105.3253441315434
2024-12-12,105.46202320353215
2024-12-13,105.64895074221289
2024-12-14,105.67080592504259
2024-12-15,105.7003166422954
2024-12-16,105.67334172132335
2024-12-17,105.93824491695864
2024-12-18,105.95249950923792
2024-12-19,105.8360481055053
2024-12-20,105.6534477164999
2024-12-21,105.62443832752332
2024-12-22,105.6341357634191
2024-12-23,105.75362031626531
2024-12-24,106.14164699503118
2024-12-25,106.41972192201911
2024-12-26,106.53193758436646
2024-12-27,106.88306489954472
2024-12-28,106.95689067861713
2024-12-29,106.95689067861713
2024-12-30,107.2968536550248
2024-12-31,107.44635866564755
2025-01-01,107.79005917509603
2025-01-02,108.05481630318852
2025-01-03,108.26316280391809
2025-01-04,108.27462928637928
2025-01-05,108.24599908059899
2025-01-06,108.24599908059899
2025-01-07,108.4806316577202
2025-01-08,108.92067209309451
2025-01-09,110.07630848690437
2025-01-10,110.00985840572825
2025-01-11,109.97790716466935
2025-01-12,109.94667732921646
2025-01-13,110.13519680122769
2025-01-14,109.98332991491833
2025-01-15,110.00577928099496
2025-01-16,109.98486958866556
2025-01-17,110.04473744359734
2025-01-18,110.1106181143561
2025-01-19,110.12626666454337
2025-01-20,110.21709133689025
2025-01-21,110.13857918689041
2025-01-22,110.29813012922085
2025-01-23,110.3556850797094
2025-01-24,110.03321992486741
2025-01-25,109.89343010045783
2025-01-26,110.19577291228165
2025-01-27,110.2971641457574
2025-01-28,110.34975196039342
2025-01-29,110.77544098168806
2025-01-30,110.78956928593105
2025-01-31,110.41153034339936
2025-02-01,111.10926562032452
2025-02-02,111.18552586514652
2025-02-03,111.27440239892205
2025-02-04,111.32413541382968
2025-02-05,111.79537433639764
2025-02-06,112.55559008883323
2025-02-07,112.3317124400713
2025-02-08,112.27581810830856
2025-02-09,112.29083926693876
2025-02-10,112.31105082505324
2025-02-11,112.60112614541445
2025-02-12,112.97330797623628
2025-02-13,113.10630274449784
2025-02-14,113.11063574291238
2025-02-15,113.29418236683144
2025-02-16,113.32164393839561
2025-02-17,113.43905700937576
2025-02-18,113.86284921910313
2025-02-19,115.05183139873563
2025-02-20,115.27430818733521
2025-02-21,115.78636226088699
2025-02-22,115.63547522509558
2025-02-23,115.77839229940575
2025-02-24,115.84083584740284
2025-02-25,116.17473660999629
2025-02-26,116.58246842967107
2025-02-27,116.52338655592544
2025-02-28,116.44190916560677
2025-03-01,116.7963604349254
2025-03-02,116.76637523172765
2025-03-03,116.80246481835998
2025-03-04,117.16899066692434
2025-03-05,118.07733313851708
2025-03-06,118.59535031770184
2025-03-07,118.5440948754112
2025-03-08,118.86226876486641
2025-03-09,118.81558621774529
2025-03-10,118.70534809327104
2025-03-11,119.30213511018661
2025-03-12,119.84638548783913
2025-03-13,119.9197794868256
2025-03-14,119.71300910158115
2025-03-15,119.56321404836618
2025-03-16,119.57443823027405
2025-03-17,119.47906472680037
2025-03-18,119.89517273174384
2025-03-19,119.92788545989958
2025-03-20,119.90771964819359
2025-03-21,119.7699349747313
2025-03-22,119.16921114473018
2025-03-23,119.16045344962536
2025-03-24,119.58960322875733
2025-03-25,119.78710060929822
2025-03-26,120.13148926338077
2025-03-27,120.21453185416496
2025-03-28,120.35415377525469
2025-03-29,120.5878548114131
2025-03-30,120.5878548114131
2025-03-31,120.5878548114131
2025-04-01,120.57994323227655
2025-04-02,120.68381356365427
2025-04-03,120.81040395993485
2025-04-04,120.5084289301317
2025-04-05,120.41620114510114
2025-04-06,120.74821109458746
2025-04-07,120.7762937140016
2025-04-08,120.77377403841462
2025-04-09,121.0862979927794
2025-04-10,121.22167817543364
2025-04-11,120.91674437704815
2025-04-12,121.02993259177353
2025-04-13,121.03894995020597
2025-04-14,120.71779299685079
2025-04-15,121.19481577204787
2025-04-16,121.43397849918041
2025-04-17,121.50079919024682
2025-04-18,121.10162343364887
2025-04-19,120.57480469376706
2025-04-20,120.26991789970337
2025-04-21,120.50855755488126
2025-04-22,120.66081205471248
2025-04-23,120.55691214454653
2025-04-24,120.66871968561418
2025-04-25,120.86590952754072
2025-04-26,120.94404386350402
2025-04-27,120.7622496266362
2025-04-28,120.65464733800339
2025-04-29,120.45516050426409
2025-04-30,120.46509560901451
2025-05-01,119.92560057575288
2025-05-02,119.6763331346693
2025-05-03,119.80344809981982
2025-05-04,119.91130623234874
2025-05-05,119.98762127257304
2025-05-06,120.22024460142804
2025-05-07,119.85017133803153
2025-05-08,119.79563759019646
2025-05-09,119.3095457804957
2025-05-10,118.9265528558031
2025-05-11,118.68688507970234
2025-05-12,118.84450053171248
2025-05-13,119.003255956544
2025-05-14,119.35733638986501
2025-05-15,119.54387112905934
2025-05-16,119.35274540494231
2025-05-17,119.20776413156437
2025-05-18,119.04500047825518
2025-05-19,118.98558324746593
2025-05-20,119.72310411112097
2025-05-21,119.64022600050413
2025-05-22,120.04098634221958
2025-05-23,119.41657305171394
2025-05-24,119.26877105624938
2025-05-25,119.08840427572456
2025-05-26,119.18774265176525
2025-05-27,119.67251138039785
2025-05-28,119.73778889758619
2025-05-29,119.6668515509994
2025-05-30,119.06241746812302
2025-05-31,118.8744219069044
2025-06-01,118.9921003169396
2025-06-02,119.24384179021627
2025-06-03,119.24384179021627
2025-06-04,118.82413020350745
2025-06-05,118.74141543935312
2025-06-06,118.63142359408914
2025-06-07,118.61260246613074
2025-06-08,118.51975609020874
2025-06-09,118.57723415687546
2025-06-10,119.41728056551013
2025-06-11,119.53608993363517
2025-06-12,119.91638584660893
2025-06-13,119.6917307826745
2025-06-14,119.77410166810478
2025-06-15,119.7607675040544
2025-06-16,119.8237842804734
2025-06-17,120.19847343262761
2025-06-18,120.0192195504777
2025-06-19,120.1007951916926
2025-06-20,119.83619211045152
2025-06-21,119.72652610917424
