,Taze meyve ve sebze,Diğer işlenmemiş gıda,İşlenmemiş gıda,İşlenmiş gıda
2016-01-31,349.83,349.52,350.94,283.76
2016-02-29,341.69,348.21,346.7,286.84
2016-03-31,318.13,342.11,333.1,288.91
2016-04-30,286.68,344.34,320.92,290.28
2016-05-31,256.45,344.25,307.92,291.53
2016-06-30,271.3,346.36,315.49,291.81
2016-07-31,311.9,349.35,334.6,293.87
2016-08-31,275.91,350.62,319.92,294.64
2016-09-30,269.87,344.79,313.98,295.46
2016-10-31,294.25,345.01,324.55,296.74
2016-11-30,274.32,350.96,319.44,297.56
2016-12-31,292.5,372.65,339.7,299.78
2017-01-31,392.13,376.16,381.36,303.07
2017-02-28,389.79,379.96,382.72,307.1
2017-03-31,410.22,385.24,394,309.95
2017-04-30,411.03,394.53,399.89,312.92
2017-05-31,379.08,402.65,392.08,315.64
2017-06-30,343.59,410.01,382.39,316.69
2017-07-31,320.86,408.89,372.7,319.95
2017-08-31,302.24,409.85,365.88,323.96
2017-09-30,299.73,403.34,360.98,326.45
2017-10-31,328.72,399.13,369.97,331.41
2017-11-30,352.51,402.9,381.68,335.29
2017-12-31,373.21,407.31,392.54,336.36
2018-01-31,385.73,409.44,398.74,342.27
2018-02-28,403.33,414.02,408.41,349.35
2018-03-31,411.82,425.81,418.87,354.64
2018-04-30,389.9,433.07,414.65,356.68
2018-05-31,389.97,450.74,425.36,357.99
2018-06-30,458.25,482.29,471.21,362.52
2018-07-31,443.96,479.07,463.66,366.63
2018-08-31,416.81,482.09,454.83,374.4
2018-09-30,472.43,494.01,483.86,398.43
2018-10-31,492.48,504.26,497.92,412.54
2018-11-30,467.24,504.61,488.22,414.43
2018-12-31,488.04,508.71,498.86,414.45
2019-01-31,633.04,520.08,560.37,418.09
2019-02-28,644.3,525.53,567.98,419.86
2019-03-31,702.92,531.28,593.56,420.92
2019-04-30,677.11,563.92,604.12,425.02
2019-05-31,575.68,579.45,575.66,436.72
2019-06-30,510.87,566.6,543.34,447.37
2019-07-31,463.06,559.56,521.02,455.17
2019-08-31,455.47,544.66,508.93,457.96
2019-09-30,447.46,532.84,498.59,460.93
2019-10-31,490.23,529.61,512.65,463.99
2019-11-30,473.63,534.06,509.17,468.61
2019-12-31,502.4,549.09,529.31,478.23
2020-01-31,604.2,559.93,572.81,485.31
2020-02-29,645.48,571.25,594.85,489.61
2020-03-31,656.84,593.93,613.34,493.66
2020-04-30,662.83,625.8,635.72,500.59
2020-05-31,641.12,635.41,634.01,504.4
2020-06-30,593.06,624.98,610.1,507.35
2020-07-31,545.16,625.5,593.2,508.15
2020-08-31,539.8,618.89,587.08,512.28
2020-09-30,550.48,610.68,585.7,519.87
2020-10-31,592,623.76,608.95,531.2
2020-11-30,642.79,654.56,646.77,543.22
2020-12-31,672.81,672.12,668.72,552.46
2021-01-31,665.95,688.11,676.38,573.18
2021-02-28,700.64,699.37,696.03,586.18
2021-03-31,703.05,712.48,705.21,591.75
2021-04-30,752.99,721.53,728.96,597.5
2021-05-31,704.99,745.21,726.66,602.69
2021-06-30,651.91,771.49,724.18,614.89
2021-07-31,688.35,784.9,745.82,630.75
2021-08-31,757.76,795.48,777.56,644.55
2021-09-30,734.39,802.32,773.47,653.95
2021-10-31,749.76,814.55,786.77,667.78
2021-11-30,735.45,859.11,809.86,700.01
2021-12-31,793.51,1023.57,935.05,815.29
2022-01-31,958.73,1104.82,1048.25,895.32
2022-02-28,1267.05,1132.28,1182.77,934.47
2022-03-31,1275.85,1238.72,1251.9,968.35
2022-04-30,1541.91,1415.84,1462.78,1064.08
2022-05-31,1370.81,1478.01,1435.97,1121.07
2022-06-30,1162.49,1528.72,1387.88,1205.46
2022-07-31,1220.08,1552.52,1424.55,1248.98
2022-08-31,1143.05,1553.54,1395.81,1291.57
2022-09-30,1165.61,1563.8,1410.76,1326.85
2022-10-31,1332.71,1625.28,1512.45,1371.06
2022-11-30,1465.19,1680.91,1597.34,1451.45
2022-12-31,1416.77,1747.47,1620.01,1483.82
2023-01-31,1507.36,1939.75,1769.45,1553.91
2023-02-28,1779.36,2072.31,1964.94,1624.73
2023-03-31,1731.53,2306.89,2077.39,1662.42
2023-04-30,1789,2536.79,2233.64,1678.6
2023-05-31,1700.23,2617.08,2240.19,1696.72
2023-06-30,1830.77,2687.19,2337.69,1728.18
2023-07-31,2153.86,2827.44,2560.1,1833.31
2023-08-31,2354.43,2922.69,2702.83,2038.12
2023-09-30,2359.95,3031.89,2767.43,2122.33
2023-10-31,2368.84,3222.23,2879.72,2174.58
2023-11-30,2305.84,3286.86,2888.72,2282.13
2023-12-31,2568.49,3450.67,3097.87,2345.23
2024-01-31,2764.97,3678.86,3315.05,2429.28
2024-02-29,3144.93,3918.56,3623.5,2606.37
2024-03-31,3162.98,4268.16,3825.3,2642.69
2024-04-30,3183.76,4516.83,3972.51,2688.96
2024-05-31,3082.91,4568.99,3954.71,2791.14
2024-06-30,3269.89,4468.77,3985.77,2866.8
2024-07-31,3372.65,4459.75,4028.33,2939.79
2024-08-31,3035.54,4385.42,3831.22,3009.47
2024-09-30,3131.66,4550.08,3966.8,3057.27
2024-10-31,3732.87,4531.38,4234.64,3125.25
2024-11-30,4407.88,4655.97,4615.91,3174.54
2024-12-31,4335.05,4788.89,4655.76,3228.75
2025-01-31,4483.06,4889.26,4779.39,3387.45
2025-02-28,4428.65,5053.34,4846.41,3546.52
2025-03-31,5138.69,5355.39,5339.05,3566.66
2025-04-30,5062.17,5606.62,5444.78,3639.38
2025-05-31,4825.78,5506.08,5280.78,3690.1
